# E[eV], EF_E [erg/cm^3s]
2.295503301232385920e+17,4.866467024721997326e-14
2.536923490868679680e+17,4.333476617570796578e-14
2.803734063491019520e+17,3.835121585995388710e-14
3.098605348988329600e+17,3.372290053012760661e-14
3.424488518295549440e+17,2.945313480451518792e-14
3.784645119704198400e+17,2.553901739353793020e-14
4.182679721534014080e+17,2.197541325450367206e-14
4.622575987864147200e+17,1.875659326270389171e-14
5.108736548382252800e+17,1.587175043943140791e-14
5.646027061382238080e+17,1.331096367541193033e-14
6.239824910907744000e+17,1.105721465888434125e-14
6.896073025419217920e+17,9.092349228212952826e-15
7.621339356619276800e+17,7.395480143945019229e-15
8.422882613720972800e+17,5.944731254711809819e-15
9.308724911049433600e+17,4.719754882149207493e-15
1.028773205605813120e+18,3.698583463118309974e-15
1.136970228131004928e+18,2.857651547878659070e-15
1.256546430848222976e+18,2.175758511713441730e-15
1.388698572585206016e+18,1.630726542930911134e-15
1.534749276394335744e+18,1.201804276669676115e-15
1.696160266808660224e+18,8.702872713805830896e-16
1.874546999272365312e+18,6.184918032203122342e-16
2.071694828161793280e+18,4.309164468613656809e-16
2.289576875212135168e+18,2.939950204421927303e-16
2.530373777182971392e+18,1.961774266475349503e-16
2.796495510403843072e+18,1.278767930237417204e-16
3.090605510627445760e+18,8.132987014441940955e-17
3.415647329589794816e+18,5.041007886511771417e-17
3.774874095065379328e+18,3.041327674931377418e-17
4.171881069263391232e+18,1.783833623302994841e-17
4.610641631420243456e+18,1.015909900663423762e-17
5.095547044714501120e+18,5.610732637229901844e-18
5.631450405504786432e+18,3.001301549434896931e-18
6.223715214749190144e+18,1.552645509493849183e-18
6.878269057725749248e+18,7.756712015416443300e-19
7.601662929298095104e+18,3.736032741088251636e-19
8.401136798473974784e+18,1.731864598491422524e-19
9.284692068448606208e+18,7.712472262105883575e-20
1.026117165733700403e+19,3.292445043066049798e-20
1.134034850107096883e+19,1.343941207050221369e-20
1.253302336422641459e+19,5.229078099665635314e-21
1.385113293770561946e+19,1.932803074942713035e-21
1.530786930515198157e+19,6.760123311585602483e-22
1.691781197375680717e+19,2.227466136998452040e-22
1.869707379086802125e+19,6.880566316425996135e-23
2.066346220678177178e+19,1.981653850766997569e-23
2.283665749769041101e+19,5.289436298993107866e-24
2.523840973250166784e+19,1.299837818098017404e-24
2.789275645483816550e+19,2.919388704151941152e-25
3.082626325885398630e+19,5.944222012030349473e-26
3.406828966662930842e+19,1.087361649142934652e-26
3.765128296813573734e+19,1.768824440811875188e-27
4.161110296462063206e+19,2.528677340279093901e-28
4.598738086554998374e+19,3.132176193072115802e-29
5.082391593107442074e+19,3.299706058047779210e-30
5.616911382974512333e+19,2.915080036651575608e-31
6.207647109871484109e+19,2.133909534724169117e-32
6.860511055506318950e+19,1.306052454921486640e-33
7.582037301682031821e+19,6.400647440177443346e-35
8.379447125583750758e+19,2.454192450686026232e-36
9.260721272747753472e+19,7.173636410184572647e-38
1.023467983104529039e+20,1.551769316773882903e-39
1.131107050508665487e+20,2.400589617754218886e-41
1.250066617452497142e+20,2.552941428132496113e-43
1.381537271265697792e+20,1.783421416448502290e-45
1.526834814440438170e+20,7.772584523866462248e-48
1.687413433624996741e+20,1.995362453150051753e-50
1.864880253612520899e+20,2.833066706798584982e-53
2.061011421986092155e+20,2.077608042956630714e-56
2.277769885400768512e+20,7.308042604882528970e-60
2.517325035413433876e+20,1.137948044975315623e-63
2.782074420482670920e+20,7.187337884194622342e-68
3.074667741439613338e+20,1.673312740301867608e-72
3.398033370584388076e+20,1.292589886379293687e-77
3.755407659820440617e+20,2.950238690177846079e-83
4.150367331152081060e+20,1.750530855851059003e-89
4.586865273720511529e+20,2.343425839601787357e-96
5.069270105647012250e+20,0.000000000000000000e+00
5.602409896631330406e+20,0.000000000000000000e+00
6.191620488896151552e+20,0.000000000000000000e+00
6.842798900089360220e+20,0.000000000000000000e+00
7.562462342618772931e+20,0.000000000000000000e+00
8.357813450104513495e+20,0.000000000000000000e+00
9.236812363756982764e+20,0.000000000000000000e+00
1.020825640014581203e+21,0.000000000000000000e+00
1.128186809770076799e+21,0.000000000000000000e+00
1.246839252314429063e+21,0.000000000000000000e+00
1.377970481173093679e+21,0.000000000000000000e+00
1.522892901759206818e+21,0.000000000000000000e+00
1.683056946368111706e+21,0.000000000000000000e+00
1.860065590591244730e+21,0.000000000000000000e+00
2.055690396434643026e+21,0.000000000000000000e+00
2.271889242706970411e+21,0.000000000000000000e+00
2.510825920128644284e+21,0.000000000000000000e+00
2.774891787276711363e+21,0.000000000000000000e+00
3.066729704105181184e+21,0.000000000000000000e+00
3.389260482575775302e+21,0.000000000000000000e+00
3.745712119125787542e+21,0.000000000000000000e+00
4.139652101541317837e+21,0.000000000000000000e+00
4.575023113574207717e+21,0.000000000000000000e+00
5.056182494646122840e+21,0.000000000000000000e+00
5.587945849566061920e+21,0.000000000000000000e+00
6.175635244721939415e+21,0.000000000000000000e+00
6.825132473109657420e+21,0.000000000000000000e+00
7.542937921294525530e+21,0.000000000000000000e+00
8.336235627464699675e+21,0.000000000000000000e+00
9.212965181700064674e+21,0.000000000000000000e+00
1.018190118805845102e+22,0.000000000000000000e+00
1.125274108376206279e+22,0.000000000000000000e+00
1.243620219440889384e+22,0.000000000000000000e+00
1.374412899656927910e+22,0.000000000000000000e+00
1.518961166128856747e+22,0.000000000000000000e+00
1.678711706491887288e+22,0.000000000000000000e+00
1.855263357847972348e+22,0.000000000000000000e+00
2.050383108464955097e+22,0.000000000000000000e+00
2.266023782389018264e+22,0.000000000000000000e+00
2.504343583964117179e+22,0.000000000000000000e+00
2.767727697866484875e+22,0.000000000000000000e+00
3.058812160834495159e+22,0.000000000000000000e+00
3.380510244010420129e+22,0.000000000000000000e+00
3.736041609937132768e+22,0.000000000000000000e+00
4.128964536023033001e+22,0.000000000000000000e+00
4.563211526978371217e+22,0.000000000000000000e+00
5.043128672644053651e+22,0.000000000000000000e+00
5.573519145119658908e+22,0.000000000000000000e+00
6.159691270524101879e+22,0.000000000000000000e+00
6.807511656507659570e+22,0.000000000000000000e+00
7.523463907233252141e+22,0.000000000000000000e+00
8.314713513465953963e+22,0.000000000000000000e+00
9.189179567213177419e+22,0.000000000000000000e+00
1.015561401865898400e+23,0.000000000000000000e+00
1.122368926862324290e+23,0.000000000000000000e+00
1.240409497320015780e+23,0.000000000000000000e+00
1.370864502942911567e+23,0.000000000000000000e+00
1.515039581274736448e+23,0.000000000000000000e+00
1.674377684958347547e+23,0.000000000000000000e+00
1.850473523290790198e+23,0.000000000000000000e+00
2.045089522609964366e+23,0.000000000000000000e+00
