# E[eV], EF_E [erg/cm^3s]
3.848545529246521182e+06,7.915136966226585900e-08
4.253300595813306049e+06,7.936900657416432347e-08
4.700624124326691031e+06,7.956373440562585221e-08
5.194993079010667279e+06,7.973267595737155083e-08
5.741355270526853390e+06,7.987390570084683025e-08
6.345178875326621346e+06,7.998624933792185109e-08
7.012507162998925894e+06,8.006939659394504242e-08
7.750018979343580082e+06,8.012388783744246672e-08
8.565095590504838154e+06,8.015132420196012850e-08
9.465894557163912803e+06,8.015294778658119457e-08
1.046143137814811617e+07,8.013065447319211732e-08
1.156166972057334147e+07,8.008677100627841751e-08
1.277762113957345672e+07,8.002252257841127222e-08
1.412145528564520180e+07,7.993947428716486606e-08
1.560662170260071382e+07,7.983868625461804134e-08
1.724798443512255698e+07,7.972065820821337065e-08
1.906197079311887547e+07,7.958572860780346135e-08
2.106673576176236942e+07,7.943401981303658960e-08
2.328234370268399641e+07,7.926528125000552214e-08
2.573096916484804451e+07,7.907935630301331541e-08
2.843711881489129364e+07,7.887611920644350797e-08
3.142787670807968825e+07,7.865485116702252327e-08
3.473317535463669151e+07,7.841566246831839902e-08
3.838609529436628520e+07,7.815806039252107316e-08
4.242319617781408876e+07,7.788149590390843365e-08
4.688488266753809899e+07,7.758611624994956403e-08
5.181580882155210525e+07,7.727123108066295589e-08
5.726532500614698231e+07,7.693684198015723933e-08
6.328797181094378978e+07,7.658239110213915628e-08
6.994402590944646299e+07,7.620791194614116019e-08
7.730010332824984193e+07,7.581302310494980021e-08
8.542982616262428463e+07,7.539761453828474020e-08
9.441455941119047999e+07,7.496148167207780545e-08
1.043442253041731417e+08,7.450449587887843364e-08
1.153182032753052562e+08,7.402652138050559764e-08
1.274463245846032649e+08,7.352759363153102433e-08
1.408499715465329885e+08,7.300759830189601411e-08
1.556632923650106788e+08,7.246656304526201219e-08
1.720345437337168157e+08,7.190465682383324805e-08
1.901275746389169991e+08,7.132188216687649255e-08
2.101234662151880860e+08,7.071847807185163293e-08
2.322223440662767887e+08,7.009471521710638148e-08
2.566453811894060075e+08,6.945067179001593225e-08
2.836370115489703417e+08,6.878701068122279585e-08
3.134673764538086057e+08,6.810417485361065584e-08
3.464350282222204208e+08,6.740245958043294788e-08
3.828699181939142346e+08,6.668238407173911579e-08
4.231366989939163327e+08,6.594491950282813552e-08
4.676383740986053348e+08,6.519070348623807142e-08
5.168203312299588323e+08,6.442042270094068755e-08
5.711747999455739260e+08,6.363512185929962802e-08
6.312457780375243425e+08,6.283588431623706126e-08
6.976344760451073647e+08,6.202360610563228790e-08
7.710053343719943762e+08,6.119969390659577818e-08
8.520926732291187048e+08,6.036508091985639041e-08
9.417080419581581354e+08,5.952143133871143154e-08
1.040748341290118217e+09,5.867016782100143993e-08
1.150204799829307318e+09,5.781267744070920680e-08
1.271172894602371693e+09,5.695066696648315902e-08
1.404863314960582495e+09,5.608584992928060572e-08
1.552614079565784216e+09,5.521999915375897642e-08
1.715903927730893612e+09,5.435483438189668195e-08
1.896367119139962196e+09,5.349216775905483501e-08
2.095809790068382263e+09,5.263417136929768119e-08
2.316228029801805973e+09,5.178268470664221229e-08
2.559827858168609619e+09,5.093957855679471502e-08
2.829047304127821922e+09,5.010704441576388621e-08
3.126580806382379532e+09,4.928714976290571541e-08
3.455406180227312565e+09,4.848156096960954243e-08
3.818814420526087761e+09,4.769240660011708418e-08
4.220442639093337059e+09,4.692138956362987319e-08
4.664310466132394791e+09,4.617044001492600809e-08
5.154860280045388222e+09,4.544125794462932976e-08
5.697001668249450684e+09,4.473561081641658316e-08
6.296160563977745056e+09,4.405473228302561073e-08
6.958333550842968941e+09,4.339993161418837383e-08
7.690147878661709785e+09,4.277240241114834657e-08
8.498927791198051453e+09,4.217312282361592306e-08
9.392767829656984329e+09,4.160271886686284366e-08
1.038061384557342339e+10,4.106164384794594558e-08
1.147235253390115547e+10,4.055012232230380033e-08
1.267891038237902832e+10,4.006830228106223649e-08
1.401236302749268532e+10,3.961597121827787872e-08
1.548605611150334549e+10,3.919253040814045794e-08
1.711473885012115669e+10,3.879707808569160182e-08
1.891471164761334610e+10,3.842846358494942951e-08
2.090398923672900009e+10,3.808556132317539897e-08
2.310248097619923401e+10,3.776688451256775991e-08
2.553219011029128647e+10,3.747096639460776944e-08
2.821743398467260742e+10,3.719654277814008339e-08
3.118508742257958984e+10,3.694156917690547051e-08
3.446485169708163452e+10,3.670406712050826463e-08
3.808955179140473938e+10,3.648200263269832343e-08
4.209546492239669800e+10,3.627391856116111238e-08
4.652268361510639191e+10,3.607758218569955899e-08
5.141551696225000763e+10,3.589131313810324687e-08
5.682293408450389862e+10,3.571365541255248305e-08
6.279905422992317200e+10,3.554295489257585206e-08
6.940368841756654358e+10,3.537798177482684093e-08
7.670293804627819824e+10,3.521792311183315457e-08
8.476985645970489502e+10,3.506215165645019503e-08
9.368518008871292114e+10,3.491032504543614494e-08
1.035381364887251892e+11,3.476216024424665724e-08
1.144273373590860901e+11,3.461810903894828655e-08
1.264617654820929718e+11,3.447891874246448088e-08
1.397618654593121338e+11,3.434613358061889839e-08
1.544607491616330566e+11,3.422225306189996828e-08
1.707055279576142578e+11,3.411095197154309907e-08
1.886587850535046387e+11,3.401238042852714579e-08
2.085002026806179199e+11,3.392625869419702717e-08
2.304283604154974365e+11,3.385244402619370003e-08
2.546627226310614319e+11,3.379094119823769079e-08
2.814458349698140259e+11,3.374149687212505768e-08
3.110457518221564941e+11,3.370387641216522836e-08
3.437587191048232422e+11,3.367794432321689448e-08
3.799121391895860596e+11,3.366350448936967572e-08
4.198678476562379150e+11,3.366022109000368210e-08
4.640257346646904297e+11,3.366771604016008486e-08
5.128277471901027222e+11,3.368564689921385710e-08
5.667623121767525635e+11,3.371353488303778040e-08
6.263692248790583496e+11,3.375089051218799226e-08
6.922450513139204102e+11,3.379724196940065606e-08
7.650490988939289551e+11,3.385214638900146710e-08
8.455100149975500488e+11,3.391504335708056947e-08
9.344330795169982910e+11,3.398549106845455310e-08
1.032708264370055176e+12,3.406298519798993847e-08
1.141319140638162109e+12,3.414700704710067015e-08
1.261352722476386475e+12,3.423707778789829381e-08
1.394010346316445068e+12,3.433263868024609591e-08
1.540619694245499023e+12,3.443325382632968121e-08
1.702648081894721436e+12,3.453851693516323837e-08
1.881717143827328857e+12,3.464796583033533289e-08
2.079619063402333740e+12,3.476106058121182208e-08
2.298334509547974609e+12,3.487737955888965672e-08
2.540052459962082520e+12,3.499605788384255678e-08
2.807192109136601074e+12,3.511612675773563902e-08
3.102427080469209473e+12,3.523634077909122474e-08
3.428712184784906250e+12,3.535543348109605648e-08
3.789312993075892578e+12,3.547191326524812622e-08
4.187838519433670410e+12,3.558440559521312544e-08
4.628277341275069336e+12,3.569126260030311812e-08
5.115037518365683594e+12,3.579100654156989858e-08
5.652990710163583984e+12,3.588209959867671148e-08
6.247520933024593750e+12,3.596297168941232149e-08
6.904578445247625000e+12,3.603208849430379416e-08
7.630739299259644531e+12,3.608808438808920705e-08
8.433271156958701172e+12,3.612943278484067561e-08
9.320206026916923828e+12,3.615488864606612776e-08
1.030042065142195508e+13,3.616323687867293002e-08
